Continent,Total Cases, New Cases, Total Deaths, Total Recovered, Active Cases, Critical Cases 
North America, 725,968, +1,408, 36,785, 70,688, 618,495, 14,459 
Europe, 1,032,608, +17,101, 93,850, 282,837, 655,921, 27,724 
Asia, 351,941, +5,971, 13,898, 168,851, 169,192, 6,439 
South America, 67,860, +269, 3,064, 26,029, 38,767, 7,606 
Australia/Oceania, 8,029, +63, 76, 4,649, 3,304, 64 
Africa, 19,549, +556, 975, 4,742, 13,832, 183 
